"","species","plant","date","total_branch_mass","total_leaf_mass","stem_mass_ratio","leaf_mass_ratio","leaf_lfm","thickness","leaf_wet_mass","leaf_dry_mass","stem_lfm","stem_width","stem_wet_mass","stem_dry_mass","lfm","leaf_area","LMA","SLA","rep","input_by","potted","branch_length","branch_width","branch_height","sample_wt","branching","mpa","notes.on.plant.char","start_time","ambient_temp","ambient_humidity","pre_ignition_glow","first_glow_time","ignition","primary_ignition","primary_time_of_flame_end","secondary_ignition","secondary_time_of_flame_end","third_ignition","third_time_of_ignition_flame_end","time_fh","fh","time_of_glow_end","thermocoupler_height","hotplate_height","notes.on.flame.data","Species","fd","tti","pfg","max_temp","time_at_max_temp","start_temp","temp_change","max_heat_flux","time_at_max_heat_flux","max_heat_flux_loessCH7","time_at_max_heat_flux_loessCH7","max_heat_flux_loessCH8","time_at_max_heat_flux_loessCH8","avg_fd_heat_flux","prop_ig"
"11","ARTCAL",10,2022-08-30,17.539,17.294,0.503516780064881,0.496483219935119,166.455194290248,0.114,0.336,0.126099999999999,143.150684931508,0.916,0.213000000000001,0.0876000000000001,156.902199344877,0.2662089832,1.26216627238145,0.79228864047619,2,"AC","yes",25,2.7,1.6,0.586400000000001,0,0.19,NA,"10:06:42",26,51,1,"0:42","M","10:12:15","10:12:28",NA,NA,NA,NA,"10:12:18",6,"10:16:28",19,15,NA,"ARTCAL",13,333,240,228.9,"10:12:15",215.3,13.6,0.958,"10:08:25",0.763994488367747,"10:14:02",0.4452539495465,"10:15:30",0.706035714285714,0.142857142857143
"12","ARTCAL",10,2022-08-30,17.539,17.294,0.503516780064881,0.496483219935119,166.455194290248,0.114,0.336,0.126099999999999,143.150684931508,0.916,0.213000000000001,0.0876000000000001,156.902199344877,0.2662089832,1.26216627238145,0.79228864047619,6,"AC","yes",25,5,3,1.1964,8,0.17,NA,"10:43:31",34,40,0,NA,"1","10:44:02","10:44:04",NA,NA,NA,NA,"10:44:03",22,"10:53:34",19,15,NA,"ARTCAL",2,31,570,229.4,"10:44:02",222.8,6.59999999999999,1.001,"10:48:18",0.812507093582222,"10:48:23",0.480763034352665,"10:51:22",0.791333333333333,0.142857142857143
"13","ARTCAL",10,2022-08-30,17.539,17.294,0.503516780064881,0.496483219935119,166.455194290248,0.114,0.336,0.126099999999999,143.150684931508,0.916,0.213000000000001,0.0876000000000001,156.902199344877,0.2662089832,1.26216627238145,0.79228864047619,1,"AC","yes",25,2.2,2.1,0.6464,0,0.28,NA,"09:56:37",25.5,52,1,"1:32","M","10:04:01","10:04:12",NA,NA,NA,NA,"10:04:08",11,"10:04:32",19,15,NA,"ARTCAL",11,444,20,212.6,"10:04:01",215.6,-3,0.884,"10:00:40",0.753535409957544,"10:03:30",0.418320312045101,"10:02:30",0.50575,0.142857142857143
"14","ARTCAL",2,2022-08-03,18.921,18.395,0.507047915103441,0.492952084896559,122.838137472284,0.206,1.407,0.631399999999999,137.942122186495,1.316,0.444000000000001,0.1866,126.283618581907,0.1771399094,7.94287410875237,0.125899011656006,1,"SM","yes",25,13,8,2.6264,13,0.225,NA,"11:07:45",29.3,42,1,"1:55","0",NA,NA,NA,NA,NA,NA,NA,NA,"11:13:19",19,16.5,NA,"ARTCAL",NA,NA,NA,-Inf,NA,215.1,-Inf,1.063,"11:09:41",0.8464381871506,"11:12:23",0.507705301967154,"11:13:06",NA,0.142857142857143
"15","ARTCAL",2,2022-08-03,18.921,18.395,0.507047915103441,0.492952084896559,122.838137472284,0.206,1.407,0.631399999999999,137.942122186495,1.316,0.444000000000001,0.1866,126.283618581907,0.1771399094,7.94287410875237,0.125899011656006,3,"SM","yes",25,7,4.3,3.1264,16,0.13,"thick stem, second cut of same branch","11:26:49",29.6,41,1,"0:44","1","11:27:27","11:27:30",NA,NA,NA,NA,"11:27:27",32,"11:31:54",19,16.5,NA,"ARTCAL",3,38,264,248.5,"11:27:30",238.1,10.4,0.986,"11:27:21",0.81246480504095,"11:27:02",0.495811784092691,"11:31:20",0.746875,0.142857142857143
"16","ARTCAL",3,2022-08-03,18.635,18.1,0.50728188376208,0.49271811623792,138.251366120218,0.213333333333333,1.09,0.457500000000001,104.545454545453,1.4475,0.459,0.224400000000001,127.159407537762,0.1274513304,8.55228420589324,0.116927826055046,1,"SM","yes",21.5,4,3.7,1.3664,21,0.315,"second cut ","11:33:57",30.1,41,1,"0:55","0",NA,NA,NA,NA,NA,NA,NA,NA,"11:38:15",19,16.5,NA,"ARTCAL",NA,NA,NA,-Inf,NA,251,-Inf,1.016,"11:35:23",0.86505580395272,"11:36:37",0.476835872184857,"11:37:52",NA,0.142857142857143
"17","ARTCAL",3,2022-08-03,18.635,18.1,0.50728188376208,0.49271811623792,138.251366120218,0.213333333333333,1.09,0.457500000000001,104.545454545453,1.4475,0.459,0.224400000000001,127.159407537762,0.1274513304,8.55228420589324,0.116927826055046,5,"SM","yes",25,10,5.2,2.5164,15,0.32,NA,"12:03:35",29.3,34,1,"0:28","0",NA,NA,NA,NA,NA,NA,NA,NA,"12:10:52",19,16.5,NA,"ARTCAL",NA,NA,NA,-Inf,NA,245.6,-Inf,1.078,"12:09:25",0.835422592117632,"12:08:56",0.468490241142168,"12:10:14",NA,0.142857142857143
"18","ARTCAL",3,2022-08-03,18.635,18.1,0.50728188376208,0.49271811623792,138.251366120218,0.213333333333333,1.09,0.457500000000001,104.545454545453,1.4475,0.459,0.224400000000001,127.159407537762,0.1274513304,8.55228420589324,0.116927826055046,4,"SM","yes",25,2.2,2,0.5564,0,0.21,NA,"11:52:06",29.6,41,1,"2:23","M","11:55:26","11:55:37",NA,NA,NA,NA,"11:55:25",17,"12:02:10",19,16.5,NA,"ARTCAL",11,200,393,228.3,"11:55:33",227.8,0.5,1.014,"11:56:50",0.834617332676536,"11:53:45",0.470405181266763,"12:01:00",0.801,0.142857142857143
"19","ARTCAL",3,2022-08-03,18.635,18.1,0.50728188376208,0.49271811623792,138.251366120218,0.213333333333333,1.09,0.457500000000001,104.545454545453,1.4475,0.459,0.224400000000001,127.159407537762,0.1274513304,8.55228420589324,0.116927826055046,2,"SM","yes",25,2.5,2.6,1.1464,21,0.25,NA,"11:39:52",29.7,40,1,"1:04","0",NA,NA,NA,NA,NA,NA,NA,NA,"11:43:34",19,16.5,NA,"ARTCAL",NA,NA,NA,-Inf,NA,253.4,-Inf,1.038,"11:40:32",0.847227020878536,"11:40:14",0.471641466049447,"11:42:00",NA,0.142857142857143
"20","ARTCAL",3,2022-08-03,18.635,18.1,0.50728188376208,0.49271811623792,138.251366120218,0.213333333333333,1.09,0.457500000000001,104.545454545453,1.4475,0.459,0.224400000000001,127.159407537762,0.1274513304,8.55228420589324,0.116927826055046,3,"SM","yes",25,8.6,5.3,1.8964,12,0.25,NA,"11:46:25",30,41,1,"0:53","0",NA,NA,NA,NA,NA,NA,NA,NA,"11:50:53",19,16.5,NA,"ARTCAL",NA,NA,NA,-Inf,NA,248.6,-Inf,0.981,"11:50:09",0.82552750783314,"11:47:54",0.488616669497013,"11:50:22",NA,0.142857142857143
