"","species","ignition","prop_ig","fh","fd","temp_change","heat_flux_change","r_fh","r_fd","r_temp_change","r_heat_flux_change"
"1","ARCDEN","M",0,0.0588005157119031,0.716877472688381,-0.0833271425184322,-0.587403041357365,-0.522715965829903,0.514205831685279,-0.0109438491347618,-1.01005568731938
"2","ARCDEN","M",0,-0.954482789928101,-0.30201954823391,-0.11674398438206,-0.510550702545976,-1.35393793403514,-0.324565001295247,0.00816405647034379,-0.657043716450114
"3","ARCDEN","M",0,-0.564758441605022,-0.747786994887413,0.304308223099673,-0.39704139641509,-1.14627492314683,-0.950458635890515,0.376691516483343,-0.819694042377107
"4","ARCDEN","M",0,0.448524864034981,-0.238338484426267,-0.958848399345526,-0.0343586357588815,-0.189010490563677,-0.496433567872989,-0.902626566721466,-0.541983476200246
"5","ARCDEN","M",0,0.29263512470575,-0.556743803464483,0.297624854726947,0.0610684052990971,-0.291682300488898,-0.762186616589766,0.369200075072637,-0.365832850386887
"6","ARCDEN","M",0,0.526469733699597,0.143747898419592,0.558276221263258,-0.438249724781094,-0.104335165039592,0.120278721317528,0.05580463807162,-0.586158941926553
"7","ARCDEN","M",0,0.136745385376519,-0.365700612041553,0.197374329136058,-0.510471522208959,-0.490817576273495,-0.321737934170546,-0.0653562352085679,-0.554997902737879
"8","ARCDEN","M",0,0.0588005157119031,-0.684105931079769,-0.210311141600223,-0.659885674010524,-0.494283470504217,-0.58841470692805,-0.195085851795328,-0.625104673025386
"9","ARTCAL","M",0.142857142857143,0.214690255041134,-0.938830186310342,-0.384078719291097,-0.733412563991244,-0.368019364218632,-0.797876484163,-0.67811889432271,-0.629237604181306
"10","ARTCAL","1",0.142857142857143,0.29263512470575,-0.49306273965684,-0.557846296981972,-0.436266035119506,-0.049132585564535,-0.304075387391693,-0.784689230105557,-0.2584485067608
"11","ARTCAL","M",0.142857142857143,-0.954482789928101,-0.365700612041553,-0.176894299736593,-0.785889491518045,-1.25797093694287,-0.1388405741066,-0.392693568007777,-0.550007630265118
"12","ARTCAL","M",0.142857142857143,-1.34420713825118,-0.238338484426267,-0.0766437741457043,-0.638155117380038,-1.64209339796026,-0.00593610224695162,-0.290826896340928,-0.393776036679177
"13","ARTCAL","M",0.142857142857143,-0.175034093281944,-1.00251125011799,-0.424178929527452,-0.742939772201965,-0.50653167682514,-0.803362933404842,-0.648058928178441,-0.549544008188712
"14","ARTCAL","1",0.142857142857143,-0.0970892236173283,-0.938830186310342,-0.437545666272905,-0.534690315230457,-0.451928004267546,-0.762774970615374,-0.668159606907065,-0.376699632250265
"15","ARTCAL","1",0.142857142857143,0.682359473028828,-0.875149122502699,-0.00981009041844561,0.371580515088822,0.116371593544833,-0.877372646668042,-0.279082620453252,0.256243972493779
"16","ARTCAL","M",0.142857142857143,-0.486813571940407,-0.365700612041553,-1.11256587191823,-0.650423796853674,-0.794538152832415,-0.130527057740057,-0.897205199236122,-0.401796106428845
"17","ARTCAL","1",0.142857142857143,0.526469733699597,-0.875149122502699,-0.577896402100151,0.209924997100153,0.0432005019999359,-0.700017630848458,-0.655927457215589,0.366499476839022
"18","ARTCAL","1",0.142857142857143,-1.11037252925733,-0.556743803464483,-0.39744545603655,-0.577797526737212,-1.3633771136306,-0.38530720797315,-0.549988761049315,-0.426887859963632
"19","ARTCAL","1",0.142857142857143,-0.408868702275791,-0.620424867272126,-0.210311141600223,-0.348855383358637,-0.632930202236354,-0.420352826518256,-0.354504358553856,-0.154043416104062
"20","ARTCAL","1",0.142857142857143,-0.564758441605022,-0.875149122502699,-0.250411351836578,-0.436438135069715,-1.05839873760668,-0.78869513875825,-0.296288526084967,-0.415819166497802
"21","ARTCAL","1",0.142857142857143,0.0588005157119031,-0.110976356810981,-0.44422903464563,-0.448765607358293,-0.40963128741417,0.000418176033097739,-0.482833551552194,-0.389909151270674
"22","CEAGRI","M",0.166666666666667,0.370579994370366,0.589515345073095,0.284258117981495,0.551755812288704,-0.403392122783326,0.448733214798702,-0.843326068418142,0.223988783495292
"23","CEAGRI","M",0.166666666666667,1.30591843034575,0.0163857708043059,2.32936884003563,1.04789402128798,0.497401341473669,-0.158574148976986,1.1918184195009,0.667727472565637
"24","CEAGRI","M",0.166666666666667,0.136745385376519,0.780558536496024,1.36028042599037,0.277498500004964,-0.595212576984534,0.681343988054346,0.24481733516044,0.0134606170710622
"25","CEAGRI","M",0.166666666666667,0.29263512470575,0.971601727918954,1.17982947992677,1.15341231143357,-0.525218443009143,0.787404567730392,0.0395854825987714,0.759083730297998
"26","CEAGRI","M",0.166666666666667,1.07208382135191,0.780558536496024,0.397875380317836,0.959357880894827,0.369928072526817,0.533548141538026,0.301898921072073,0.468727479349332
"27","CEAGRI","M",0.166666666666667,1.30591843034575,-0.110976356810981,-0.0164934587911715,-0.0365187568960549,0.477720217142746,-0.482689497267124,-0.148833204746058,-0.718336596020082
"28","CEAGRI","M",0.166666666666667,0.916194082022675,0.971601727918954,0.257524644490592,1.25523565094517,0.00956944654007399,0.522295768041742,0.102558853472251,0.454456739550059
"29","CEAGRI","M",0.166666666666667,-0.330923832611175,0.716877472688381,-0.51106271837289,0.508640847857564,-1.01814121528777,0.484646662382015,-0.602729454749424,0.0406696981732288
"30","CEAGRI","M",0.166666666666667,0.682359473028828,0.143747898419592,0.945911586881362,2.32385484764266,-0.292421458006277,-0.37298991643069,0.771282685272162,1.41969309963101
"31","CEAGRI","1",0.166666666666667,0.916194082022675,-0.174657420618624,0.564959589635984,0.961949476588509,0.0646546717126454,-0.569463662092942,0.425885901697927,0.244726556431421
