"","species","ignition","prop_ig","fh","fd","temp_change","heat_flux_change","r_fh","r_fd","r_temp_change","r_heat_flux_change","plant"
"1","ARCDEN","M",0,0.0588005157119031,0.716877472688381,-0.0833271425184322,-0.587403041357365,0.312912572756624,0.758267707458304,0.191475568238053,-0.411041518972948,1
"2","ARCDEN","M",0,-0.954482789928101,-0.30201954823391,-0.11674398438206,-0.510550702545976,-0.488432463793816,-0.111538469324195,0.24396101125021,-0.0640133248983691,1
"3","ARCDEN","M",0,-0.564758441605022,-0.747786994887413,0.304308223099673,-0.39704139641509,-0.310646384560302,-0.70639676011749,0.579110933856158,-0.220679874030674,1
"4","ARCDEN","M",0,0.448524864034981,-0.238338484426267,-0.958848399345526,-0.0343586357588815,0.637425145975221,-0.242822355545512,-0.710477160858513,0.0588718542368607,1
"5","ARCDEN","M",0,0.29263512470575,-0.556743803464483,0.297624854726947,0.0610684052990971,0.543486592995247,-0.517647273989019,0.571105991869959,0.23327337606408,1
"6","ARCDEN","M",0,0.526469733699597,0.143747898419592,0.558276221263258,-0.438249724781094,0.228207846611624,0.333464408897822,0.0805194485970985,0.00300645000751306,2
"7","ARCDEN","M",0,0.136745385376519,-0.365700612041553,0.197374329136058,-0.510471522208959,0.22225280629011,-0.120170606064837,0.0530605083292401,0.0303727520597085,3
"8","ARCDEN","M",0,0.0588005157119031,-0.684105931079769,-0.210311141600223,-0.659885674010524,0.255750326992859,-0.395760092939831,0.079707424502202,-0.0410595493673139,5
"9","ARTCAL","M",0.142857142857143,0.214690255041134,-0.938830186310342,-0.384078719291097,-0.733412563991244,0.178546168041684,-0.613020495027584,-0.217678225392707,-0.0372609045404827,1
"10","ARTCAL","1",0.142857142857143,0.29263512470575,-0.49306273965684,-0.557846296981972,-0.436266035119506,0.82455863989394,-0.127495489936803,-0.208366573210406,0.336125618935585,10
"11","ARTCAL","M",0.142857142857143,-0.954482789928101,-0.365700612041553,-0.176894299736593,-0.785889491518045,-0.377997895085182,0.0312139433694143,0.19064693008578,0.0433083680026398,10
"12","ARTCAL","M",0.142857142857143,-1.34420713825118,-0.238338484426267,-0.0766437741457043,-0.638155117380038,-0.761201065897812,0.163163481573617,0.293540602903616,0.199355845379514,10
"13","ARTCAL","M",0.142857142857143,-0.175034093281944,-1.00251125011799,-0.424178929527452,-0.742939772201965,0.368844914008734,-0.628533747651602,-0.0698534358398152,0.0446925711243824,10
"14","ARTCAL","1",0.142857142857143,-0.0970892236173283,-0.938830186310342,-0.437545666272905,-0.534690315230457,0.41961821071315,-0.583966894631111,-0.0942332860308817,0.218304097933943,10
"15","ARTCAL","1",0.142857142857143,0.682359473028828,-0.875149122502699,-0.00981009041844561,0.371580515088822,0.756945722905284,-0.667847538100289,-0.203218329051652,0.830907996462809,2
"16","ARTCAL","M",0.142857142857143,-0.486813571940407,-0.365700612041553,-1.11256587191823,-0.650423796853674,0.0286693077623265,0.0380950592527894,-0.780523814384235,0.181832371506902,3
"17","ARTCAL","1",0.142857142857143,0.526469733699597,-0.875149122502699,-0.577896402100151,0.209924997100153,0.545025396465485,-0.521050399254954,-0.444804185306357,0.933375711356035,4
"18","ARTCAL","1",0.142857142857143,-1.11037252925733,-0.556743803464483,-0.39744545603655,-0.577797526737212,-0.424524152627886,-0.205703353942682,-0.516024013296699,0.158228636627612,5
"19","ARTCAL","1",0.142857142857143,-0.408868702275791,-0.620424867272126,-0.210311141600223,-0.348855383358637,0.310672424824304,-0.245682796374256,-0.315233438187811,0.430121813407002,5
"20","ARTCAL","1",0.142857142857143,-0.564758441605022,-0.875149122502699,-0.250411351836578,-0.436438135069715,-0.20738614045136,-0.594448968677622,-0.035465905291655,0.175024562663294,7
"21","ARTCAL","1",0.142857142857143,0.0588005157119031,-0.110976356810981,-0.44422903464563,-0.448765607358293,0.445518115662582,0.190367144664222,-0.217389425579444,0.200106054949619,7
"22","CEAGRI","M",0.166666666666667,0.370579994370366,0.589515345073095,0.284258117981495,0.551755812288704,0.253215121162394,0.682131664752587,-0.536580061049481,0.769275673854968,1
"23","CEAGRI","M",0.166666666666667,1.30591843034575,0.0163857708043059,2.32936884003563,1.04789402128798,1.14833962915669,0.0807130585188117,1.49223125310514,1.21414974621456,1
"24","CEAGRI","M",0.166666666666667,0.136745385376519,0.780558536496024,1.36028042599037,0.277498500004964,0.0682893434969079,0.907580435592392,0.559265851161497,0.557366635862733,1
"25","CEAGRI","M",0.166666666666667,0.29263512470575,0.971601727918954,1.17982947992677,1.15341231143357,0.124187694332601,1.0282833313186,0.33828664761804,1.30581286429537,1
"26","CEAGRI","M",0.166666666666667,1.07208382135191,0.780558536496024,0.397875380317836,0.959357880894827,0.746668566589862,0.785249486554613,0.365769032475102,1.02561716049993,2
"27","CEAGRI","M",0.166666666666667,1.30591843034575,-0.110976356810981,-0.0164934587911715,-0.0365187568960549,0.833776681598626,-0.209502145003018,-0.108070619240218,-0.157304300165468,2
"28","CEAGRI","M",0.166666666666667,0.916194082022675,0.971601727918954,0.257524644490592,1.25523565094517,0.352755848129274,0.808852191482083,0.128943422864284,1.01806666233162,2
"29","CEAGRI","M",0.166666666666667,-0.330923832611175,0.716877472688381,-0.51106271837289,0.508640847857564,-0.638949280678692,0.733801517650748,-0.536120673610431,0.597068402766314,2
"30","CEAGRI","M",0.166666666666667,0.682359473028828,0.143747898419592,0.945911586881362,2.32385484764266,0.0395802460916415,-0.074815133515766,0.785172073993863,1.98554310295622,2
