date,species,plant,rep,input_by,potted,branch_length,branch_width,branch_height,total_branch_mass,branching,mpa,notes.on.plant.char,start_time_clocktime,start_time,ambient_temp,ambient_humidity,pre_ignition_glow,first_glow_time,ignition,primary_ignition,primary_time_of_flame_end,secondary_ignition,secondary_time_of_flame_end,third_ignition,third_time_of_ignition_flame_end,time_fh,fh,time_of_glow_end,thermocoupler_height,hotplate_height,notes.on.flame.data,X,fd,tti,pfg,gd,gti,ttfg,max_temp,time_at_max_temp,start_temp,temp_change,max_heat_flux,time_at_max_heat_flux,max_heat_flux_loessCH7,time_at_max_heat_flux_loessCH7,max_heat_flux_loessCH8,time_at_max_heat_flux_loessCH8
2022-08-16,SALLEU,5,1,RD,yes,25,6.4,4,19.67,5,-0.9,,14:03:49,14:03:49,30.6,37,1,50653,1,14:12:42,14:12:57,N/A,N/A,N/A,N/A,14:12:51,21,14:18:08,19,15,,NA,15,533,311,835,509,24,238.7,14:12:50,227.4,11.299999999999983,1.109,14:11:51,0.838513945601345,14:13:09,0.47117113310950487,14:12:00
2022-08-09,MALLAU,9,1,AC,yes,25,30.3,18,39.86,6,-1.1,,14:04:06,14:04:06,34.5,32,1,50655,M,14:14:16,14:15:15,N/A,N/A,N/A,N/A,14:14:23,74,14:20:56,19,15,glow started by touching pilot flame,NA,59,610,341,1001,601,9,240.5,14:14:16,202.6,37.900000000000006,1.407,14:13:27,0.7841283509172746,14:13:43,0.5281911048055495,14:14:04
2022-07-27,SALLEU,2,2,JL,yes,25,6.2,3.6,18.72,0,-1.6,,14:13:28,14:13:28,33.5,33,1,51354,M,14:22:59,14:23:04,N/A,N/A,N/A,N/A,14:23:03,7,14:29:31,19,16,only ignited stem; leaves fell off,NA,5,571,387,817,425,146,226.9,14:23:04,216,10.900000000000006,1.037,14:16:51,0.7888419602473243,14:27:28,0.46008417621394826,14:19:28
2022-07-27,SALLEU,2,3,JL,yes,25,11,6.9,21.56,9,-1.7,,14:32:27,14:32:27,32.6,33,1,52503,1,14:35:36,14:35:49,N/A,N/A,N/A,N/A,14:35:37,29,14:39:18,19,16,,NA,13,189,209,255,33,156,230.9,14:35:36,213.1,17.80000000000001,1.023,14:33:50,0.7976072513305982,14:36:25,0.470861974318154,14:34:51
2022-08-16,SALLEU,5,2,RD,yes,25,16.5,4.3,22.2,4,-1.2,Y-shaped,14:40:28,14:40:28,32.5,33,1,52886,1,14:46:31,14:46:53,N/A,N/A,N/A,N/A,14:46:32,16.5,14:47:54,19,15,,NA,22,363,61,388,305,58,236.2,14:46:44,207.6,28.599999999999994,1.009,14:46:24,0.8222752527325058,14:47:12,0.45371775763038386,14:45:50
2022-11-01,SALLEU,12,3,RD,yes,25,9,5,20.01,5,-1,,14:45:14,14:45:14,24.9,47,1,53118,M,14:50:14,14:50:54,N/A,N/A,N/A,N/A,14:50:19,22,14:52:09,19,17,ignition by opening door; glow started by touching pilot flame,NA,40,300,75,411,296,4,221.5,14:50:34,216.3,5.199999999999989,0.924,14:49:19,0.7312129797451142,14:49:48,0.4218777622454356,14:49:46
2022-08-16,SALLEU,5,3,RD,yes,25,8.1,5,20.22,6,-1,,14:53:25,14:53:25,32.6,34,1,53657,1,14:56:49,14:57:01,14:57:21,14:57:24,N/A,N/A,14:56:55,20,14:58:53,19,15,,NA,12,204,112,276,152,52,236.8,14:56:49,206.6,30.200000000000017,1.02,14:55:53,0.8433005660117963,14:56:10,0.4620539173950899,14:56:07
2022-07-27,SALLEU,2,7,JL,yes,25,4.4,3.9,18.47,0,-1.6,,15:12:55,15:12:55,30.7,36,1,55429,M,15:31:31,15:31:37,N/A,N/A,N/A,N/A,15:31:34,4,15:29:42,19,16,"sample finished glow duration prior to manual ignition; manual ignition is for just small portion of stem that remained after majority of sample was consumed via glowing combustion, didn't really glow much after manual ignition as not much mass left to glow; CONSIDER AS 0 IGNITION?",NA,6,1116,-115,353,462,654,227.4,15:31:37,229.4,-2,1.008,15:22:20,0.7872695924440527,15:27:26,0.45573360388724027,15:29:42
2022-07-27,SALLEU,3,2,JL,yes,25,10.9,10.2,23.82,11,-1.7,,16:06:17,16:06:17,29.7,38,1,58146,1,16:12:22,16:13:22,N/A,N/A,N/A,N/A,16:12:25,30,16:14:54,19,16,flame was rather small for last 32 seconds of flame duration,NA,60,365,92,348,196,169,236.5,16:12:22,213,23.5,1.112,16:11:40,0.8206675420783947,16:11:45,0.4872415635748124,16:11:58
2022-07-27,SALLEU,3,3,JL,yes,25,7.5,3.3,20.32,4,-2,,16:21:41,16:21:41,29.5,38,1,59001,M,16:34:07,16:34:41,N/A,N/A,N/A,N/A,16:34:11,19,16:38:13,19,16,,NA,34,746,212,892,646,100,237.8,16:34:20,218.4,19.400000000000006,1.044,16:27:20,0.8000704907221696,16:36:16,0.4677420922326305,16:34:24
2022-08-16,SALLEU,4,1,RD,yes,25,12.5,4,21.23,4,-1.7,,11:56:24,11:56:24,26.4,50,0,NA,1,11:58:13,11:58:20,N/A,N/A,N/A,N/A,11:58:16,12,12:23:08,19,15,,NA,7,109,1488,NA,NA,NA,-Inf,NA,-Inf,NA,-Inf,NA,NA,NA,NA,NA
