,date,species,plant,rep,input_by,trt,branch_length,branch_width,branch_height,total_branch_mass,branching,mpa,notes on plant char,start_time_clocktime,start_time,ambient_temp,ambient_humidity,pre_ignition_glow,first_glow_time,ignition,primary_ignition,primary_time_of_flame_end,secondary_ignition,secondary_time_of_flame_end,third_ignition,third_time_of_ignition_flame_end,time_of_max_flame_height,max_flame_height,time_of_glow_end,thermocoupler_height,hotplate_height,notes on flame data,end_time_clock_time,maxflameht_time_clock_time,firstigstart_time_clock_time,secondigstart_time_clock_time,firstigend_time_clock_time,secondigend_time_clock_time
328,2022-07-27,SALLEU,P1,R4,JC,W,25.0,9.6,3.3,19.655,6.0,-2.2,,2023-04-13 11:17:21,2023-04-13 11:17:21,29.4,33.0,1,11:20:42,1,2023-04-13 11:21:47,2023-04-13 11:21:51,,,,,2023-04-13 11:21:49,15.5,2023-04-13 11:22:29,19.0,16.0,,2023-04-13 11:22:29,2023-04-13 11:21:49,2023-04-13 11:21:47,,2023-04-13 11:21:51,
329,2022-07-27,SALLEU,P1,R5,JC,W,25.0,4.3,3.1,18.736,0.0,-2.1,,2023-04-13 11:25:10,2023-04-13 11:25:10,30.1,31.0,0,,M,2023-04-13 11:34:39,2023-04-13 11:34:59,,,,,2023-04-13 11:34:40,22,2023-04-13 11:35:17,19.0,16.0,,2023-04-13 11:35:17,2023-04-13 11:34:40,2023-04-13 11:34:39,,2023-04-13 11:34:59,
330,2022-07-27,SALLEU,P1,R6,JC,W,25.0,9.5,3.3,21.033,4.0,-1.7,,2023-04-13 11:40:50,2023-04-13 11:40:50,32.4,32.0,0,,M,2023-04-13 11:50:29,2023-04-13 11:50:59,,,,,2023-04-13 11:50:32,25,2023-04-13 11:52:01,19.0,16.0,,2023-04-13 11:52:01,2023-04-13 11:50:32,2023-04-13 11:50:29,,2023-04-13 11:50:59,
331,2022-07-27,SALLEU,P1,R7,JC,W,25.0,4.5,3.0,19.073,5.0,-1.8,,2023-04-13 11:54:07,2023-04-13 11:54:07,34.2,32.0,0,,M,2023-04-13 12:04:13,2023-04-13 12:04:23,,,,,2023-04-13 12:04:14,21.5,2023-04-13 12:08:37,19.0,16.0,,2023-04-13 12:08:37,2023-04-13 12:04:14,2023-04-13 12:04:13,,2023-04-13 12:04:23,
332,2022-07-27,SALLEU,P1,R8,JC,W,25.0,7.5,2.0,18.975,7.0,-2.1,,2023-04-13 12:42:51,2023-04-13 12:42:51,33.8,33.0,0,,1,2023-04-13 12:49:28,2023-04-13 12:49:44,,,,,2023-04-13 12:49:29,13,2023-04-13 13:06:10,19.0,16.0,cannot see glow end time at all,2023-04-13 13:06:10,2023-04-13 12:49:29,2023-04-13 12:49:28,,2023-04-13 12:49:44,
333,2022-07-27,SALLEU,P1,R9,JC,W,25.0,20,7.5,26.486,9.0,-1.9,,2023-04-13 13:07:54,2023-04-13 13:07:54,33.2,34.0,1,13:08:48,1,2023-04-13 13:09:18,2023-04-13 13:09:23,2023-04-13 13:15:53,2023-04-13 13:16:36,2023-04-13 13:20:31,2023-04-13 13:21:14,2023-04-13 13:15:54,15,2023-04-13 13:22:54,19.0,16.0,glow start by touching pilot flame,2023-04-13 13:22:54,2023-04-13 13:15:54,2023-04-13 13:09:18,2023-04-13 13:15:53,2023-04-13 13:09:23,2023-04-13 13:16:36
334,2022-08-24,SALLEU,P10,R1,SM,W,21.8,9.8,5.5,20.421,4.0,-1.8,,2023-04-13 14:13:08,2023-04-13 00:00:54,31.4,39.0,1,1:36,0,,,,,,,,,2023-04-13 00:11:14,,,,2023-04-13 14:23:28,,,,,
335,2022-08-24,SALLEU,P10,R2,SM,W,25.0,4.6,3.0,18.386,2.0,-1.8,,2023-04-13 14:25:28,2023-04-13 00:00:27,30.7,40.0,1,2:39,0,,,,,,,,,2023-04-13 00:09:30,,,,2023-04-13 14:34:31,,,,,
336,2022-08-24,SALLEU,P10,R3,SM,W,22.5,4.4,4.2,18.733,2.0,-1.9,,2023-04-13 14:36:11,2023-04-13 00:00:40,30.7,40.0,1,3:44,1,2023-04-13 00:04:29,2023-04-13 00:04:38,,,,,2023-04-13 00:04:31,30,2023-04-13 00:07:36,,,,2023-04-13 14:43:07,2023-04-13 14:40:02,2023-04-13 14:40:00,,2023-04-13 14:40:09,
337,2022-08-24,SALLEU,P10,R4,SM,W,23.1,9.8,4.4,21.126,4.0,-1.7,,2023-04-13 14:44:37,2023-04-13 00:00:30,31.5,38.0,1,1:52,1,2023-04-13 00:02:28,2023-04-13 00:02:36,,,,,2023-04-13 00:02:30,23,2023-04-13 00:11:09,,,,2023-04-13 14:55:16,2023-04-13 14:46:37,2023-04-13 14:46:35,,2023-04-13 14:46:43,
339,2022-11-01,SALLEU,P11,R1,RD,W,25.0,11,5.6,20.491,3.0,-1.1,,2023-04-13 13:39:17,2023-04-13 13:39:17,26.1,55.0,0,,1,2023-04-13 13:43:18,2023-04-13 13:43:33,,,,,2023-04-13 13:43:18,8,2023-04-13 13:47:24,19.0,17.0,sample lit by touching pilot flame (barely),2023-04-13 13:47:24,2023-04-13 13:43:18,2023-04-13 13:43:18,,2023-04-13 13:43:33,
340,2022-11-01,SALLEU,P11,R2,RD,W,25.0,6,3.3,18.782,2.0,-0.8,,2023-04-13 13:56:41,2023-04-13 13:56:41,23.8,55.0,1,13:59:30,0,,,,,,,,,,19.0,17.0,still glowing when video ends,,,,,,
341,2022-11-01,SALLEU,P11,R3,RD,W,25.0,6.4,3.9,18.618,2.0,-1.2,,2023-04-13 14:04:58,2023-04-13 14:04:58,23.6,54.0,1,14:05:52,0,,,,,,,,,,19.0,17.0,still glowing when video ends,,,,,,
