label,species,plant_number,leaf_number,area_cm2,std_dev_cm2,x,y,xm,ym,perim,bx,by,width,height,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,ar,round,solidity,x_1,notes,,
ARTCAL_P4_R1_W_00001.jpg,ARTCAL,4,2,0.18144286,32.84100239,9.787520831,9.726116763,9.782676272,9.72728612,4.033868996,8.947376165,9.499995815,1.400532243,0.392317767,1.179952161,0.195787789,3.350732712,0.140121948,1.408097434,2121,2323,11.57924085,0.390864579,6.026689247,0.165928582,0.547098436,28,,,
ARTCAL_P4_R1_W_00001.jpg,ARTCAL,4,3,0.158273126,28.05767004,15.94907454,14.98845422,15.94859609,14.98838766,4.315140545,15.20336808,14.6127822,1.24023036,0.569493532,0.836783403,0.240826482,11.72447631,0.106813748,1.240488606,3604,3594,1.169139328,0.555172174,3.474632008,0.287800261,0.381087045,31,,,
ARTCAL_P4_R1_W_00001.jpg,ARTCAL,4,4,0.154091185,24.99506251,9.67197705,16.47335647,9.670661362,16.47426586,3.936005042,9.04861946,16.21580103,1.122113182,0.565275062,0.819258743,0.239478665,18.72984769,0.124990316,1.20658584,2145,3972,24.14554196,0.449779606,3.421009309,0.292311394,0.436397541,32,,,
ARTCAL_P4_R1_W_00001.jpg,ARTCAL,4,5,0.14996263,35.01643206,12.23189906,24.21698855,12.22803227,24.21664503,3.699637682,11.48689547,23.99044236,1.282415066,0.350133061,1.092787826,0.174725914,178.9016062,0.137681163,1.283774247,2723,5744,2.636758426,0.34955102,6.254297395,0.159890062,0.543291857,33,,,
ARTCAL_P5_R1_W_00001.jpg,ARTCAL,5,1,0.24716162,14.65139115,15.8385328,5.864442427,15.83907435,5.864230751,7.757181853,14.6844962,5.218248145,1.851908598,1.079928476,0.855727215,0.367752647,18.71390905,0.051615834,2.012922278,3481,1464,23.07245802,1.059311381,2.326909735,0.42975453,0.209680098,34,,,
ARTCAL_P5_R1_W_00001.jpg,ARTCAL,5,2,0.25561448,12.20886018,9.789701135,9.467929682,9.789684883,9.467703807,7.797495031,8.803948165,8.943157695,1.750665303,1.295070477,0.842956424,0.386091683,152.6055222,0.052830546,1.862372362,2088,2125,159.3072472,1.11968282,2.183306355,0.458020927,0.205948771,36,,,
ARTCAL_P5_R1_W_00001.jpg,ARTCAL,5,3,0.23780119,12.65681718,16.31981523,14.165919,16.31957224,14.1658759,7.004568043,15.30882985,13.50332443,1.607237303,1.24444883,0.70750777,0.4279499,15.43727559,0.060906153,1.686206659,3629,3382,18.07232215,1.11175798,1.653249062,0.60486954,0.211615662,38,,,
ARTCAL_P5_R1_W_00001.jpg,ARTCAL,5,4,0.174538208,10.29147345,9.838734532,17.50444531,9.838612951,17.50455026,5.574776172,9.014871695,16.99199962,1.404750713,0.906971181,0.670313176,0.331530032,18.20847141,0.070574126,1.513484729,2137,4228,22.27589785,0.889784275,2.021877696,0.494589758,0.226118431,39,,,
ARTCAL_P5_R1_W_00001.jpg,ARTCAL,5,5,0.230629606,18.01437862,13.43603461,23.03618037,13.43559843,23.03578545,5.742243063,12.61322713,22.678498,1.371002948,0.818383298,0.821814576,0.357315072,156.204964,0.087894516,1.513537639,2990,5388,154.9348696,0.813924143,2.29997176,0.434787947,0.322376031,40,,,
ARTCAL_P6_R1_W_00001.jpg,ARTCAL,6,1,0.483556966,15.28649271,17.25847514,4.415147857,17.2574053,4.41476193,14.11264475,15.42272855,3.809278961,2.982458722,1.341473654,1.551657287,0.396791132,163.5667806,0.030509893,3.116721882,3658,962,162.5950869,1.312189028,3.910514021,0.255720858,0.205810845,42,,,
